derep File CorvsMaximumcluster CorvsTotal CorvsNumberOfClusters NumberOfClusters DetectedReqGenus
derep ./testing_clustering_derep/r166/contigs_250_woident_unoiseM1_unoiseM20_swarmD2_blast_summary_genus.tsv 0.834781635804732 0.7354808883963121 -0.20528948273410524 9 8
derep ./testing_clustering_derep/r287/contigs_250_woident_minsize4_unoiseM8_unoiseM1_blast_summary_genus.tsv 0.3401184224812109 0.8136182031721931 0.7468242623758548 16 8
derep ./testing_clustering_derep/r270/contigs_250_woident_minsize4_unoiseM1_swarmD1_blast_summary_genus.tsv 0.6460657969655259 0.6959664002824623 0.44578573923964016 20 8
derep ./testing_clustering_derep/r273/contigs_250_woident_minsize4_unoiseM2_swarmD1_blast_summary_genus.tsv 0.6460657969655259 0.6959664002824623 0.44578573923964016 20 8
derep ./testing_clustering_derep/r226/contigs_250_woident_minsize2_unoiseM1_swarmD2_blast_summary_genus.tsv 0.7914107813448137 0.7962765894382323 0.5872076474507892 43 8
derep ./testing_clustering_derep/r178/contigs_250_woident_unoiseM2_swarmD1_swarmD2_blast_summary_genus.tsv 0.7895616834393465 0.6951781727360771 0.6076074762027119 45 8
derep ./testing_clustering_derep/r211/contigs_250_woident_minsize2_swarmD2_clusterP98_blast_summary_genus.tsv 0.6983622671305282 0.6944300703552173 0.5628469131606944 31 8
derep ./testing_clustering_derep/r81/contigs_250_woident_clusterP99_unoiseM20_swarmD1_blast_summary_genus.tsv 0.795368521504896 0.7271815559279925 0.16402624629927992 12 8
derep ./testing_clustering_derep/r168/contigs_250_woident_unoiseM1_unoiseM20_swarmD1_blast_summary_genus.tsv 0.7829277838435678 0.7354808883963121 -0.07316378029360293 11 8
derep ./testing_clustering_derep/r210/contigs_250_woident_unoiseM2_unoiseM20_swarmD1_blast_summary_genus.tsv 0.6319945121814883 0.6757977381432497 0.16402624629927992 12 8
derep ./testing_clustering_derep/r114/contigs_250_woident_swarmD1_unoiseM4_swarmD1_blast_summary_genus.tsv 0.6877796629350266 0.7543227933497554 0.5871634666470893 31 8
derep ./testing_clustering_derep/r101/contigs_250_woident_swarmD1_unoiseM1_unoiseM1_blast_summary_genus.tsv 0.6907101167281766 0.8058435753466456 0.66935622012322 307 8
derep ./testing_clustering_derep/r185/contigs_250_woident_unoiseM2_unoiseM1_unoiseM1_blast_summary_genus.tsv 0.29924619018330645 0.7815869016457374 0.6800619627859674 60 8
derep ./testing_clustering_derep/r151/contigs_250_woident_unoiseM1_unoiseM4_clusterP98_blast_summary_genus.tsv 0.7373353144992134 0.7399978158343878 0.3760768067187646 15 8
derep ./testing_clustering_derep/r115/contigs_250_woident_swarmD1_unoiseM8_clusterP98_blast_summary_genus.tsv 0.7412298195872234 0.749666476821445 0.7949394710659399 14 8
derep ./testing_clustering_derep/r106/contigs_250_woident_swarmD1_unoiseM2_swarmD2_blast_summary_genus.tsv 0.8239542638014873 0.8339250558540057 0.5421893685209848 54 8
derep ./testing_clustering_derep/r112/contigs_250_woident_swarmD1_unoiseM4_swarmD2_blast_summary_genus.tsv 0.8347612217042983 0.7543227933497554 0.5134694866756393 28 8
derep ./testing_clustering_derep/r279/contigs_250_woident_minsize4_unoiseM4_swarmD1_blast_summary_genus.tsv 0.6460657969655259 0.6959664002824623 0.44578573923964016 20 8
derep ./testing_clustering_derep/r233/contigs_250_woident_minsize2_unoiseM2_unoiseM1_blast_summary_genus.tsv 0.29924619018330645 0.7815869016457374 0.6800619627859674 60 8
derep ./testing_clustering_derep/r157/contigs_250_woident_unoiseM1_unoiseM8_clusterP98_blast_summary_genus.tsv 0.7354808883963121 0.7354808883963121 NaN 8 8
derep ./testing_clustering_derep/r159/contigs_250_woident_unoiseM1_unoiseM8_swarmD1_blast_summary_genus.tsv 0.7618090123084602 0.8246149155515057 0.039198108083640375 10 8
derep ./testing_clustering_derep/r100/contigs_250_woident_swarmD1_unoiseM1_swarmD2_blast_summary_genus.tsv 0.8377417213762407 0.8058435753466457 0.6851544195869544 284 8
derep ./testing_clustering_derep/r5/contigs_250_woident_clusterP98_swarmD2_unoiseM1_blast_summary_genus.tsv 0.7791455337296447 0.8057727754458981 0.7279414496984711 260 8
derep ./testing_clustering_derep/r95/contigs_250_woident_swarmD1_swarmD1_unoiseM1_blast_summary_genus.tsv 0.6907101167281766 0.8058435753466457 0.66935622012322 307 8
derep ./testing_clustering_derep/r221/contigs_250_woident_minsize2_swarmD1_unoiseM1_blast_summary_genus.tsv 0.6336619998064252 0.695178172736077 0.5791445094199417 47 8
derep ./testing_clustering_derep/r174/contigs_250_woident_unoiseM2_swarmD2_swarmD1_blast_summary_genus.tsv 0.7895616834393465 0.6951781727360771 0.6076074762027119 45 8
derep ./testing_clustering_derep/r142/contigs_250_woident_unoiseM1_unoiseM1_swarmD2_blast_summary_genus.tsv 0.8385184665852714 0.805678248231276 0.7123257698698059 287 8
derep ./testing_clustering_derep/r24/contigs_250_woident_clusterP98_unoiseM2_swarmD1_blast_summary_genus.tsv 0.7789974498704791 0.7757876485980446 0.6476097118521934 70 8
